"","Địa chỉ","Quận","Huyện","Loại hình nhà ở","Giấy tờ pháp lý","Số tầng","Số phòng ngủ","Diện tích","Dài","Rộng","Giá/m2"
"36","Đường Xã Đàn, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Ô Chợ Dừa","Nhà mặt phố, mặt tiền","Đã có sổ","6","6",64,8,8,483.33
"37","Phố Văn Quán, Phường Văn Quán, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Văn Quán","Nhà mặt phố, mặt tiền","Đã có sổ","5","4",40.7,11,3.7,116.22
"38","Đường Trần Khát Chân, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Bạch Đằng","Nhà ngõ, hẻm","Đã có sổ","3","2",24,8,3,82.61
"39","Đường Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Nhân Chính","Nhà mặt phố, mặt tiền","Đã có sổ","4","4",16,4,4,140
"40","Võng Thị, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội","Quận Tây Hồ","Phường Thụy Khuê","Nhà biệt thự","Đã có sổ","5","6",100.8,18,5.6,146.74
"41","Đường Doãn Kế Thiện, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Dịch Vọng","Nhà mặt phố, mặt tiền","Đã có sổ","4","3",46.8,11.7,4,102.13
"42","Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Nghĩa Đô","Nhà ngõ, hẻm","Đã có sổ","4","4",44,11,4,90.7
"43","Đường Nguyễn Khang, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Quan Hoa","Nhà ngõ, hẻm","Đã có sổ","4","4",60,15,4,81.25
"44","ngọc tri, Phường Thạch Bàn, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Thạch Bàn","Nhà ngõ, hẻm","Đã có sổ","5","3",30,7.5,4,75
"45","35, Đường Ngô Thì Sỹ, Phường Vạn Phúc, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Vạn Phúc","Nhà ngõ, hẻm","Đã có sổ","5","3",32,10,3.2,95
"46","Đường Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Thạch Bàn","Nhà ngõ, hẻm","Đã có sổ","5","4",36,9,4,67.57
"47","Lê Quang Đạo, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội","Quận Nam Từ Liêm","Phường Mễ Trì","Nhà ngõ, hẻm","Đã có sổ","6","10+",54,9,6,130.36
"48","Đường Nguyễn Lương Bằng, Phường Nam Đồng, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Nam Đồng","Nhà ngõ, hẻm","Đã có sổ","5","3",31.5,7,4.5,71.67
"49","Đường Thái Hà, Phường Nam Đồng, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Nam Đồng","Nhà ngõ, hẻm","Đã có sổ","3","2",24,6,4,93.75
"50","124, Đường Chiến Thắng, Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Nguyễn Trãi","Nhà mặt phố, mặt tiền","Đã có sổ","6","7",36,10,3.6,152.78
"51","Đường Hoàng Mai, Phường Tương Mai, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Tương Mai","Nhà ngõ, hẻm","Đã có sổ","5","4",48,12,4,56.25
"53","B3-261, Đường Thụy Khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội","Quận Tây Hồ","Phường Thụy Khuê","Nhà mặt phố, mặt tiền","Đã có sổ","4","5",169,13,13,200
"54","08, Đường Thạch Bàn||1422, Phường Thạch Bàn, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Thạch Bàn","Nhà ngõ, hẻm","Đã có sổ","4","3",35,10,3.5,68
"55","Đường Võ Thị Sáu, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Thanh Nhàn","Nhà ngõ, hẻm","Đã có sổ","4","4",60,10,6,160
"56","Đường Khâm Thiên, Phường Khâm Thiên, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Khâm Thiên","Nhà ngõ, hẻm","Đã có sổ","4","3",35,7,5,85.71
"57","số 5 nghách 8711phố yên lộ, phố yên lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Yên Nghĩa","Nhà ngõ, hẻm","Đã có sổ","2","2",32,8,4,40
"58","Đường Lê Trọng Tấn, Phường Dương Nội, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Dương Nội","Nhà ngõ, hẻm","Đã có sổ","3","2",32,8,4,40.27
"59","Đường Phố Vọng, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Đồng Tâm","Nhà ngõ, hẻm","Đã có sổ","5","4",60,10,6,160.71
"60","đường trịnh văn bô, Phường Xuân Phương, Quận Nam Từ Liêm, Hà Nội","Quận Nam Từ Liêm","Phường Xuân Phương","Nhà ngõ, hẻm","Đã có sổ","4","3",30,7.5,4,66.13
"61","Đường Trường Chinh, Phường Phương Mai, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Phương Mai","Nhà ngõ, hẻm","Đã có sổ","4","4",63,10,6.3,87.3
"63","Đường Vạn Bảo, Phường Liễu Giai, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Liễu Giai","Nhà biệt thự","Đã có sổ","6","5",80,16,5,161.13
"64","xxx, Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Kiến Hưng","Nhà ngõ, hẻm","Đã có sổ","5","4",40,10,4,113.16
"65","Đường Nguyễn Chí Thanh, Phường Láng Thượng, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Láng Thượng","Nhà mặt phố, mặt tiền","Đã có sổ","5","5",80,16,5,207.9
"66","88, Hồ tung mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Mai Dịch","Nhà ngõ, hẻm","Đã có sổ","5","3",40,8,5,102.5
"67","Giáp Nhị, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Thịnh Liệt","Nhà mặt phố, mặt tiền","Đã có sổ","3","4",56.98,8.14,7,63.16
"68","Đường Lãng Yên, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Bạch Đằng","Nhà mặt phố, mặt tiền","Đã có sổ","4","3",56,14,4,58.93
"69","Đường Đông Ngạc, Phường Đông Ngạc, Quận Bắc Từ Liêm, Hà Nội","Quận Bắc Từ Liêm","Phường Đông Ngạc","Nhà ngõ, hẻm","Đã có sổ","4","5",30.8,5.6,5.5,77.33
"70","88, Đường Hồ Tùng Mậu||821, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Mai Dịch","Nhà ngõ, hẻm","Đã có sổ","5","3",43.7,9.5,4.6,79.55
"71","2 Ngõ 77 Bùi Xương Trạch, Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Đình","Nhà ngõ, hẻm","Đã có sổ","4","3",32,8,4,79.69
"72","Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Trung Liệt","Nhà ngõ, hẻm","Đã có sổ","5","3",32,8,4,111.76
"73","Đường Hoàng Văn Thái, Phường Khương Mai, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Mai","Nhà ngõ, hẻm","Đã có sổ","5","4",49,12.25,4,75.51
"74","Đường Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Tân Mai","Nhà mặt phố, mặt tiền","Đã có sổ","5","6",675,15,45,111.94
"75","Đường Biên Giang, Phường Biên Giang, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Biên Giang","Nhà mặt phố, mặt tiền","Đã có sổ","3","4",109.9,15.7,7,31.82
"76","Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Quan Hoa","Nhà mặt phố, mặt tiền","Đã có sổ","5","4",41,10,4.1,112.2
"77","Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Đình","Nhà ngõ, hẻm","Đã có sổ","5","3",36,9,4,95.71
"78","Đường Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Ô Chợ Dừa","Nhà ngõ, hẻm","Đã có sổ","5","3",36,9,4,97.06
"79","Đường Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Vĩnh Phúc","Nhà ngõ, hẻm","Đã có sổ","4","4",81,18,4.5,175
"80","Đường Chiến Thắng, Phường Văn Quán, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Văn Quán","Nhà ngõ, hẻm","Đã có sổ","4","4",48,12,4,60.47
"81","Đường Cổ Nhuế, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội","Quận Bắc Từ Liêm","Phường Cổ Nhuế 2","Nhà ngõ, hẻm","Đã có sổ","4","4",46.2,11,4.2,63.83
"82","ngõ 252/7 ngọc thuỵ long biên","Quận Long Biên","Phường Ngọc Thụy","Nhà ngõ, hẻm","Đã có sổ","5","3",36,9,4,88.89
"83","Đường Định Công, Phường Định Công, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Định Công","Nhà phố liền kề","Đã có sổ","4","4",76.13,16.55,4.6,117.11
"84","Đường Quang Trung||1869, Phường La Khê, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường La Khê","Nhà ngõ, hẻm","Đã có sổ","4","3",32,8,4,65.15
"85","Đường Trung Phụng, Phường Khâm Thiên, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Khâm Thiên","Nhà ngõ, hẻm","Đã có sổ","4","3",21,4.2,5,113.64
"86","La khê, Phường La Khê, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường La Khê","Nhà ngõ, hẻm","Đã có sổ","4","4",32.2,7,4.6,66.13
"88","Đường Phan Đình Giót, Phường La Khê, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường La Khê","Nhà ngõ, hẻm","Đã có sổ","5","3",31.14,9,3.46,65.14
"89","Đường Phan Kế Bính, Phường Liễu Giai, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Liễu Giai","Nhà mặt phố, mặt tiền","Đã có sổ","6","5",42,7,6,366.67
"90","Quang Trung, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Yên Nghĩa","Nhà ngõ, hẻm","Đã có sổ","3","3",35,10,3.5,45.71
"91","2, Đường Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Lĩnh Nam","Nhà ngõ, hẻm","Đã có sổ","4","3",27,9,3,75
"92","Đỗ Quang, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Trung Hoà","Nhà mặt phố, mặt tiền","Đã có sổ","7","4",50,10,5,240
"93","Đường Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Văn Quán","Nhà ngõ, hẻm","Đã có sổ","4","6",60,15,4,75
"94","Đền Lừ, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Hoàng Văn Thụ","Nhà mặt phố, mặt tiền","Đã có sổ","6","5",40,10,4,142.86
"95","Đường Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Kiến Hưng","Nhà ngõ, hẻm","Đã có sổ","5","4",30,10,3,60
"96","Đường Hoa Bằng, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Yên Hoà","Nhà ngõ, hẻm","Đã có sổ","1","1",52,13,4,72.73
"97","hoàng mai","Quận Hoàng Mai","Phường Tân Mai","Nhà mặt phố, mặt tiền","Đã có sổ","5","4",35,7,5,88.57
"98","Cầu am, Phường Vạn Phúc, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Vạn Phúc","Nhà ngõ, hẻm","Đã có sổ","5","4",29.6,8,3.7,62.86
"99","398, Đường Nguyễn Đình Hoàn, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Nghĩa Đô","Nhà ngõ, hẻm","Đã có sổ","6","4",36,10,3.6,92.11
"100","Đường Liễu Giai, Phường Liễu Giai, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Liễu Giai","Nhà ngõ, hẻm","Đã có sổ","5","5",60,12,5,166.67
"101","Đường Kim Giang, Phường Kim Giang, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Kim Giang","Nhà ngõ, hẻm","Đã có sổ","5","4",40,8,5,112.5
"102","Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Đình","Nhà ngõ, hẻm","Đã có sổ","5","5",63,18,3.5,64
"103","Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Láng Hạ","Nhà ngõ, hẻm","Đã có sổ","5","3",36,9,4,140
"104","Đường Đào Tấn, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Ngọc Khánh","Nhà ngõ, hẻm","Đã có sổ","4","4",33.92,10.6,3.2,94.12
"105","325, Đường Kim Ngưu, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Minh Khai","Nhà ngõ, hẻm","Đã có sổ","5","4",25.6,8,3.2,118
"106","Đường Lê Thanh Nghị","Quận Hai Bà Trưng","Phường Thanh Nhàn","Nhà ngõ, hẻm","Đã có sổ","4","4",45,9,5,103.33
"107","Đường Thành, Phường Cửa Đông, Quận Hoàn Kiếm, Hà Nội","Quận Hoàn Kiếm","Phường Cửa Đông","Nhà mặt phố, mặt tiền","Đã có sổ","2","2",20,5,4,550
"108","Đường Yên Lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Yên Nghĩa","Nhà ngõ, hẻm","Đã có sổ","4","3",315,9,35,53
"109","Đường Nguyễn Chí Thanh, Phường Láng Thượng, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Láng Thượng","Nhà ngõ, hẻm","Đã có sổ","5","3",31.8,6,5.3,100
"110","Đường Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Trung Liệt","Nhà ngõ, hẻm","Đã có sổ","3","2",32,8,4,88.57
"111","Đường Nguyễn Viết Xuân||1843, Phường Hà Cầu, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Hà Cầu","Nhà ngõ, hẻm","Đã có sổ","3","4",45,10,4.5,78.72
"112","nhâ","Quận Thanh Xuân","Phường Nhân Chính","Nhà ngõ, hẻm","Đã có sổ","4","4",36,9,4,107.89
"113","duong lam, Phường Văn Quán, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Văn Quán","Nhà ngõ, hẻm","Đã có sổ","5","6",50,10,5,103.85
"114","Đường Hoàng Hoa Thám, Phường Ngọc Hà, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Ngọc Hà","Nhà ngõ, hẻm","Đã có sổ","3","2",21,6,3.5,78.57
"115","324, Đường Ngọc Thụy||1282, Phường Long Biên, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Long Biên","Nhà ngõ, hẻm","Giấy tờ khác","4","3",52.5,10.5,5,54.81
"116","Đường Phố Trạm, Phường Long Biên, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Long Biên","Nhà mặt phố, mặt tiền","Đang chờ sổ","5","4",30,5,6,91.67
"117","Nghĩa Bình, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Yên Nghĩa","Nhà ngõ, hẻm","Đã có sổ","4","4",36,10,3.6,40.28
"118","Đường Thanh Nhàn, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Thanh Nhàn","Nhà ngõ, hẻm","Đã có sổ","3","2",25,5,5,79.2
"119","Đường Đa Sĩ, Phường Hà Cầu, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Hà Cầu","Nhà ngõ, hẻm","Đã có sổ","2","2",42.9,11,3.9,43.9
"120","Hồng hà, Phường Chương Dương, Quận Hoàn Kiếm, Hà Nội","Quận Hoàn Kiếm","Phường Chương Dương","Nhà ngõ, hẻm","Đã có sổ","4","4",66,11,6,75.76
"121","Phương Canh, Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội","Quận Nam Từ Liêm","Phường Phương Canh","Nhà ngõ, hẻm","Đã có sổ","4","3",31,6.2,5,83.87
"122","Đường Thái Hà, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Ngã Tư Sở","Nhà ngõ, hẻm","Đã có sổ","6","3",33.6,8,4.2,161.11
"123","HÒE THỊ, Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội","Quận Nam Từ Liêm","Phường Phương Canh","Nhà ngõ, hẻm","Đã có sổ","4","3",31.5,9,3.5,74.19
"124","Yên Hòa, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Yên Nghĩa","Nhà ngõ, hẻm","Đã có sổ","4","4",39,10,3.9,42.31
"125","nguyễn đình hoàn, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Nghĩa Đô","Nhà ngõ, hẻm","Đã có sổ","5","4",40,10,4,87.5
"126","Đường Hòa Bình||1785, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Yên Nghĩa","Nhà ngõ, hẻm","Đã có sổ","4","3",40.2,6.7,6,41.54
"127","Đường Yên Hòa, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Yên Nghĩa","Nhà ngõ, hẻm","Đã có sổ","4","3",36.72,10.2,3.6,37.84
"128","THANH BÌNH 123, Phường Mộ Lao, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Mộ Lao","Nhà ngõ, hẻm","Đã có sổ","5","9",38,10,3.8,94.74
"129","Đường Định Công, Phường Định Công, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Định Công","Nhà ngõ, hẻm","Đã có sổ","4","3",40.5,9,4.5,75.71
"130","Đường Khương Thượng, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Ngã Tư Sở","Nhà ngõ, hẻm","Đã có sổ","5","4",35,10,3.5,110
"131","Phương canh, Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội","Quận Nam Từ Liêm","Phường Phương Canh","Nhà ngõ, hẻm","Đã có sổ","4","3",31.2,7.8,4,79.03
"132","Đường Thượng Cát, Phường Thượng Cát, Quận Bắc Từ Liêm, Hà Nội","Quận Bắc Từ Liêm","Phường Thượng Cát","Nhà ngõ, hẻm","Đã có sổ","3","3",40,8,5,45.31
"133","Đường Tân Ấp, Phường Phúc Xá, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Phúc Xá","Nhà mặt phố, mặt tiền","Đã có sổ","7","8",49.92,10.4,4.8,218
"134","Cẩm Văn, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Ô Chợ Dừa","Nhà ngõ, hẻm","Đã có sổ","4","4",42,14,3,76.19
"135","Phố Lụa, Phường Vạn Phúc, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Vạn Phúc","Nhà ngõ, hẻm","Đã có sổ","4","3",34,10,3.4,79.41
"136","Huyền Kỳ, Phường Phú Lương, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Phú Lương","Nhà ngõ, hẻm","Đã có sổ","4","4",37,10,3.7,45.68
"137","Đường Xã Đàn 2, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Ô Chợ Dừa","Nhà ngõ, hẻm","Đã có sổ","4","4",59.5,17,3.5,74.58
